links,titles,photo_url
https://www.adoptapet.com/pet/28384571-alameda-california-american-pit-bull-terrier,"Alameda, CA - American Pit Bull Terrier. Meet HERSHEY (STITCH) a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/b/d/482022886.jpeg
https://www.adoptapet.com/pet/28904192-alameda-california-chihuahua,"Alameda, CA - Chihuahua. Meet JOEY a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/5/0/493003930.jpeg
https://www.adoptapet.com/pet/28904193-alameda-california-chihuahua,"Alameda, CA - Chihuahua. Meet CHANDLER a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/c/6/493003935.jpeg
https://www.adoptapet.com/pet/28926454-alameda-california-patterdale-fell-terrier,"Alameda, CA - Patterdale Terrier (Fell Terrier). Meet HAWK a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/5/c/493457945.jpeg
https://www.adoptapet.com/pet/28928990-oakland-california-german-shepherd-dog,"Oakland, CA - German Shepherd Dog. Meet Jessie a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/0/5/493506366.jpg
https://www.adoptapet.com/pet/28928994-oakland-california-border-collie,"Oakland, CA - Border Collie. Meet Sam a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/f/1/493506450.jpg
https://www.adoptapet.com/pet/19107128-santa-cruz-california-,"Santa Cruz, CA - Terrier (Unknown Type, Small). Meet Freckles (currently in foster) a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/9/4/451187490.jpeg
https://www.adoptapet.com/pet/27818619-santa-cruz-california-rat-terrier,"Santa Cruz, CA - Rat Terrier. Meet Leela (currently in foster) a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/a/c/479024101.jpeg
https://www.adoptapet.com/pet/27854638-santa-cruz-california-dachshund,"Santa Cruz, CA - Dachshund. Meet Davis (currently in foster) a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/7/9/487505549.jpeg
https://www.adoptapet.com/pet/27854639-santa-cruz-california-dachshund,"Santa Cruz, CA - Dachshund. Meet Mango (currently in foster) a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/b/6/475768604.jpeg
https://www.adoptapet.com/pet/28736466-santa-cruz-california-,"Santa Cruz, CA - Terrier (Unknown Type, Small). Meet Margarita (currently in foster) a Pet for Adoption.",https://pet-uploads.adoptapet.com/6/6/a/494035341.jpeg
https://www.adoptapet.com/pet/28946155-santa-cruz-california-chihuahua,"Santa Cruz, CA - Chihuahua. Meet Buttercup (currently in foster) a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/0/b/493853158.jpeg
https://www.adoptapet.com/pet/28649795-oakland-california-american-staffordshire-terrier,"Oakland, CA - American Staffordshire Terrier. Meet Buster! Beefy Squish a Pet for Adoption.",https://pet-uploads.adoptapet.com/6/5/6/487624723.jpg
https://www.adoptapet.com/pet/26056093-san-francisco-california-,"San Francisco, CA - Mixed Breed (Large). Meet Journey a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/9/d/425631810.jpg
https://www.adoptapet.com/pet/28923345-san-francisco-california-,"San Francisco, CA - Terrier (Unknown Type, Medium). Meet Bushy a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/7/7/493401381.jpg
https://www.adoptapet.com/pet/28952212-san-francisco-california-australian-cattle-dog,"San Francisco, CA - Australian Cattle Dog. Meet Magnolia a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/d/7/493990773.jpg
https://www.adoptapet.com/pet/28933433-livermore-california-american-pit-bull-terrier,"Livermore, CA - American Pit Bull Terrier. Meet Honey a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/e/7/493606888.jpg
https://www.adoptapet.com/pet/28377078-santa-cruz-california-american-pit-bull-terrier,"Santa Cruz, CA - American Pit Bull Terrier. Meet NORA THE EXPLORER a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/2/a/493294488.jpeg
https://www.adoptapet.com/pet/28797260-santa-cruz-california-chihuahua,"Santa Cruz, CA - Chihuahua. Meet SHEP* a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/a/8/494235151.jpeg
https://www.adoptapet.com/pet/28914612-santa-cruz-california-chihuahua,"Santa Cruz, CA - Chihuahua. Meet ROO* a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/9/3/493630883.jpeg
https://www.adoptapet.com/pet/28939282-santa-cruz-california-american-pit-bull-terrier,"Santa Cruz, CA - American Pit Bull Terrier. Meet JUICEBOX* a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/6/4/494235150.jpeg
https://www.adoptapet.com/pet/28939283-santa-cruz-california-doberman-pinscher,"Santa Cruz, CA - Doberman Pinscher. Meet MAX a Pet for Adoption.",https://pet-uploads.adoptapet.com/e/c/4/494190156.jpeg
https://www.adoptapet.com/pet/28948125-santa-cruz-california-american-pit-bull-terrier,"Santa Cruz, CA - American Pit Bull Terrier. Meet TADPOLE* a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/6/5/494047080.jpeg
https://www.adoptapet.com/pet/28038457-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet George a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/b/b/492318509.jpg
https://www.adoptapet.com/pet/28350472-san-francisco-california-husky,"San Francisco, CA - Husky. Meet Rocky a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/7/5/484551401.jpg
https://www.adoptapet.com/pet/28390303-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Snow White a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/4/5/482154501.jpg
https://www.adoptapet.com/pet/28518648-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Blue a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/4/5/491366398.jpg
https://www.adoptapet.com/pet/28523644-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - Pit Bull Terrier. Meet Niner a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/6/6/485008252.jpg
https://www.adoptapet.com/pet/28549044-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - Pit Bull Terrier. Meet London a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/7/0/491870461.jpg
https://www.adoptapet.com/pet/28643434-san-francisco-california-labrador-retriever,"San Francisco, CA - Labrador Retriever. Meet Sandy a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/8/c/487481548.jpg
https://www.adoptapet.com/pet/28695826-san-francisco-california-,"San Francisco, CA - Mixed Breed (Medium). Meet Konan a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/f/e/488563259.jpg
https://www.adoptapet.com/pet/28701979-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Charlotte a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/c/d/488705080.jpg
https://www.adoptapet.com/pet/28702715-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Mini a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/4/d/488849564.jpg
https://www.adoptapet.com/pet/27689855-san-francisco-california-rhodesian-ridgeback,"San Francisco, CA - Rhodesian Ridgeback. Meet Redd a Pet for Adoption.",https://pet-uploads.adoptapet.com/6/0/2/464644644.jpg
https://www.adoptapet.com/pet/28132695-san-francisco-california-labrador-retriever,"San Francisco, CA - Labrador Retriever. Meet Magi a Pet for Adoption.",https://pet-uploads.adoptapet.com/e/e/8/475854804.jpg
https://www.adoptapet.com/pet/28826159-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - Pit Bull Terrier. Meet Hanna a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/4/0/491257482.jpg
https://www.adoptapet.com/pet/28885623-san-francisco-california-,"San Francisco, CA - Hound (Unknown Type). Meet Loki a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/b/b/492561002.jpg
https://www.adoptapet.com/pet/28885624-san-francisco-california-yorkie-yorkshire-terrier,"San Francisco, CA - Yorkie, Yorkshire Terrier. Meet Duke a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/4/5/492561017.jpg
https://www.adoptapet.com/pet/28929035-san-francisco-california-jack-russell-terrier,"San Francisco, CA - Jack Russell Terrier. Meet Dusty a Pet for Adoption.",https://pet-uploads.adoptapet.com/e/c/b/493507292.jpg
https://www.adoptapet.com/pet/28952345-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - Pit Bull Terrier. Meet Peluzza a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/1/3/493993342.jpg
https://www.adoptapet.com/pet/25478997-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Pipa a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/f/b/465439139.jpg
https://www.adoptapet.com/pet/28320204-san-francisco-california-rat-terrier,"San Francisco, CA - Rat Terrier. Meet Frisco a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/5/5/491388122.jpg
https://www.adoptapet.com/pet/28694289-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Rukus a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/1/7/488533772.jpg
https://www.adoptapet.com/pet/28698611-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - Pit Bull Terrier. Meet Atwater a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/3/a/488621505.jpg
https://www.adoptapet.com/pet/28749312-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - Pit Bull Terrier. Meet Babs a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/9/4/489676999.jpg
https://www.adoptapet.com/pet/28759904-san-francisco-california-,"San Francisco, CA - Terrier (Unknown Type, Small). Meet Wonder a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/c/1/489892925.jpg
https://www.adoptapet.com/pet/28876768-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - Pit Bull Terrier. Meet Diamond a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/1/1/492369009.jpg
https://www.adoptapet.com/pet/28899814-san-francisco-california-boxer,"San Francisco, CA - Boxer. Meet Chance a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/3/1/492891469.jpg
https://www.adoptapet.com/pet/28948457-san-francisco-california-english-setter,"San Francisco, CA - English Setter. Meet Barney a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/2/d/493898651.jpg
https://www.adoptapet.com/pet/28948477-san-francisco-california-german-shepherd-dog,"San Francisco, CA - German Shepherd Dog. Meet Sierra a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/e/6/493899148.jpg
https://www.adoptapet.com/pet/28948564-san-francisco-california-german-shepherd-dog,"San Francisco, CA - German Shepherd Dog. Meet Cersei a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/8/c/493900260.jpg
https://www.adoptapet.com/pet/28121462-san-francisco-california-miniature-poodle,"San Francisco, CA - Poodle (Miniature). Meet Curly a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/1/f/494380505.jpeg
https://www.adoptapet.com/pet/28361079-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Presley a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/2/5/481489750.jpeg
https://www.adoptapet.com/pet/28727978-san-francisco-california-,"San Francisco, CA - Retriever (Unknown Type). Meet Bosco a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/8/7/490006199.jpeg
https://www.adoptapet.com/pet/28744833-san-francisco-california-,"San Francisco, CA - Hound (Unknown Type). Meet Ollie a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/1/7/490007534.jpeg
https://www.adoptapet.com/pet/28815166-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Gaucho a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/9/9/491039188.jpeg
https://www.adoptapet.com/pet/28881980-san-francisco-california-,"San Francisco, CA - Shepherd (Unknown Type). Meet Chester a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/a/c/493210663.jpeg
https://www.adoptapet.com/pet/28917061-san-francisco-california-american-pit-bull-terrier,"San Francisco, CA - American Pit Bull Terrier. Meet Mercedes a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/1/8/494374300.jpeg
https://www.adoptapet.com/pet/28926647-san-francisco-california-,"San Francisco, CA - Terrier (Unknown Type, Small). Meet Bits a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/9/b/493493391.jpeg
https://www.adoptapet.com/pet/28938057-san-francisco-california-chihuahua,"San Francisco, CA - Chihuahua. Meet Skinny a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/e/5/493683533.jpeg
