,links,titles,photo_url
59,https://www.adoptapet.com/pet/29731121-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - American Pit Bull Terrier. Meet Lady Rage a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/d/b/514218380.jpg
60,https://www.adoptapet.com/pet/29763020-los-angeles-california-,"Los Angeles, CA - Hound (Unknown Type). Meet Kylo a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/7/7/511579833.jpg
61,https://www.adoptapet.com/pet/29814701-los-angeles-california-rottweiler,"Los Angeles, CA - Rottweiler. Meet Biscotti a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/0/c/512734475.jpg
62,https://www.adoptapet.com/pet/29820990-los-angeles-california-australian-cattle-dog,"Los Angeles, CA - Australian Cattle Dog. Meet Burton & Topanga a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/e/9/512883217.jpg
63,https://www.adoptapet.com/pet/29832047-los-angeles-california-jack-russell-terrier,"Los Angeles, CA - Jack Russell Terrier. Meet Vincent a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/3/9/513102040.jpg
64,https://www.adoptapet.com/pet/29840234-los-angeles-california-,"Los Angeles, CA - Retriever (Unknown Type). Meet Milo a Pet for Adoption.",https://pet-uploads.adoptapet.com/e/4/0/513268357.jpg
65,https://www.adoptapet.com/pet/29898029-los-angeles-california-smooth-fox-terrier,"Los Angeles, CA - Fox Terrier (Smooth). Meet Also! 7y., 17 lbs, Fox TerrX a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/0/2/514606448.jpg
66,https://www.adoptapet.com/pet/29907086-los-angeles-california-german-shepherd-dog,"Los Angeles, CA - German Shepherd Dog. Meet Luna a Pet for Adoption.",https://images-ra.adoptapet.com/images/X_NoPhoto_outlined-Desktop_Tablet_Dog.svg
67,https://www.adoptapet.com/pet/29910993-los-angeles-california-cane-corso,"Los Angeles, CA - Cane Corso. Meet Smokey a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/5/2/514938984.jpg
68,https://www.adoptapet.com/pet/29912459-los-angeles-california-chihuahua,"Los Angeles, CA - Chihuahua. Meet Sprite a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/5/5/514965247.jpg
69,https://www.adoptapet.com/pet/29915459-los-angeles-california-flat-coated-retriever,"Los Angeles, CA - Flat-Coated Retriever. Meet Siri a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/6/7/515035873.jpg
70,https://www.adoptapet.com/pet/29956537-los-angeles-california-manchester-terrier,"Los Angeles, CA - Manchester Terrier. Meet Wally! 2y, NM, ManTerrX a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/f/9/515928922.jpg
71,https://www.adoptapet.com/pet/12979506-burbank-california-boxer,"Burbank, CA - Boxer. Meet Handsome Rico-VIDEO a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/d/4/186450752.jpg
72,https://www.adoptapet.com/pet/18946335-burbank-california-american-staffordshire-terrier,"Burbank, CA - American Staffordshire Terrier. Meet Handsome Chance a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/a/7/278566531.jpg
73,https://www.adoptapet.com/pet/19770814-burbank-california-border-collie,"Burbank, CA - Border Collie. Meet Adorable Chappie-VIDEO a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/7/a/293842279.jpg
74,https://www.adoptapet.com/pet/21049419-burbank-california-american-pit-bull-terrier,"Burbank, CA - Pit Bull Terrier. Meet Handsome Blanco-DEAF a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/0/4/317846024.jpg
75,https://www.adoptapet.com/pet/23578649-burbank-california-american-pit-bull-terrier,"Burbank, CA - Staffordshire Bull Terrier. Meet Adorable little Noah a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/2/1/368684072.jpg
76,https://www.adoptapet.com/pet/23928628-burbank-california-carolina-dog,"Burbank, CA - Carolina Dog. Meet Handsome Charlie-VIDEO a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/4/f/376426790.jpg
77,https://www.adoptapet.com/pet/24412860-burbank-california-boxer,"Burbank, CA - Boxer. Meet Adorable Vida a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/e/e/387124489.jpg
78,https://www.adoptapet.com/pet/24468031-burbank-california-labrador-retriever,"Burbank, CA - Labrador Retriever. Meet Sweet Arnie! a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/6/2/388560721.jpg
79,https://www.adoptapet.com/pet/24935804-burbank-california-rottweiler,"Burbank, CA - Rottweiler. Meet Sweet Millie a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/5/d/400424166.jpg
80,https://www.adoptapet.com/pet/26157280-burbank-california-husky,"Burbank, CA - Husky. Meet *BONNIE a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/2/c/441982946.jpeg
81,https://www.adoptapet.com/pet/26157281-burbank-california-husky,"Burbank, CA - Husky. Meet *CLYDE a Pet for Adoption.",https://pet-uploads.adoptapet.com/e/4/1/441982996.jpeg
82,https://www.adoptapet.com/pet/26688358-burbank-california-mastiff,"Burbank, CA - Mastiff. Meet Beautiful Rosie a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/9/5/440847850.jpg
83,https://www.adoptapet.com/pet/27110336-burbank-california-jindo,"Burbank, CA - Jindo. Meet Coconut! a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/9/7/450557424.jpg
84,https://www.adoptapet.com/pet/29928878-arcadia-california-dachshund,"Arcadia, CA - Dachshund. Meet Cody Henry a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/7/1/515335688.jpg
85,https://www.adoptapet.com/pet/29716387-rosemead-california-australian-shepherd,"Rosemead, CA - Australian Shepherd. Meet Lola  a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/b/3/510473140.jpg
86,https://www.adoptapet.com/pet/29913002-los-angeles-california-dachshund,"Los Angeles, CA - Dachshund. Meet Scooter a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/b/b/514976260.jpg
87,https://www.adoptapet.com/pet/21649914-burbank-california-american-staffordshire-terrier,"Burbank, CA - American Staffordshire Terrier. Meet Daisy a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/f/4/330075528.jpg
88,https://www.adoptapet.com/pet/21649970-burbank-california-american-staffordshire-terrier,"Burbank, CA - American Staffordshire Terrier. Meet Morty a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/d/6/330077614.jpg
89,https://www.adoptapet.com/pet/28389023-burbank-california-australian-shepherd,"Burbank, CA - Australian Shepherd. Meet Frankie a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/4/a/508631424.jpg
90,https://www.adoptapet.com/pet/29158342-burbank-california-american-pit-bull-terrier,"Burbank, CA - American Pit Bull Terrier. Meet Bubbles a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/a/0/498408807.jpg
91,https://www.adoptapet.com/pet/29435773-burbank-california-american-staffordshire-terrier,"Burbank, CA - American Staffordshire Terrier. Meet Dale a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/c/7/504401469.jpg
92,https://www.adoptapet.com/pet/29526501-burbank-california-american-pit-bull-terrier,"Burbank, CA - American Pit Bull Terrier. Meet Jimmy a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/5/0/506376023.jpg
93,https://www.adoptapet.com/pet/29609061-burbank-california-american-pit-bull-terrier,"Burbank, CA - American Pit Bull Terrier. Meet Colorado a Pet for Adoption.",https://pet-uploads.adoptapet.com/5/d/a/508160078.jpg
94,https://www.adoptapet.com/pet/29949141-burbank-california-american-pit-bull-terrier,"Burbank, CA - American Pit Bull Terrier. Meet Harley a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/d/6/515764062.jpg
95,https://www.adoptapet.com/pet/28882442-los-angeles-california-jack-russell-terrier,"Los Angeles, CA - Jack Russell Terrier. Meet Charlie (in Westminster) a Pet for Adoption.",https://pet-uploads.adoptapet.com/9/0/a/506119394.jpg
96,https://www.adoptapet.com/pet/29518807-los-angeles-california-jack-russell-terrier,"Los Angeles, CA - Jack Russell Terrier. Meet Angus (in Rancho Cucamonga) a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/0/d/506186689.jpg
97,https://www.adoptapet.com/pet/29913079-los-angeles-california-rat-terrier,"Los Angeles, CA - Rat Terrier. Meet Riley (in Atascadero) a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/4/a/514977676.jpg
98,https://www.adoptapet.com/pet/28876283-burbank-california-american-pit-bull-terrier,"Burbank, CA - American Pit Bull Terrier. Meet Forky a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/b/e/516015307.jpg
99,https://www.adoptapet.com/pet/26301337-los-angeles-california-chihuahua,"Los Angeles, CA - Chihuahua. Meet Conchi a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/e/2/431538852.jpg
100,https://www.adoptapet.com/pet/26301468-los-angeles-california-husky,"Los Angeles, CA - Husky. Meet Bonito a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/f/4/473717399.jpg
101,https://www.adoptapet.com/pet/26301568-los-angeles-california-chihuahua,"Los Angeles, CA - Chihuahua. Meet Pepper a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/9/6/431542562.jpg
102,https://www.adoptapet.com/pet/27588059-los-angeles-california-labrador-retriever,"Los Angeles, CA - Labrador Retriever. Meet Blackie a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/5/7/462187692.jpg
103,https://www.adoptapet.com/pet/27588287-los-angeles-california-american-staffordshire-terrier,"Los Angeles, CA - American Staffordshire Terrier. Meet Harley a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/b/8/462192001.jpg
104,https://www.adoptapet.com/pet/27763720-los-angeles-california-cairn-terrier,"Los Angeles, CA - Cairn Terrier. Meet Valentino a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/f/e/466464687.jpg
105,https://www.adoptapet.com/pet/27852630-los-angeles-california-,"Los Angeles, CA - Terrier (Unknown Type, Small). Meet Ralph a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/2/8/470694181.jpg
106,https://www.adoptapet.com/pet/28057754-los-angeles-california-cocker-spaniel,"Los Angeles, CA - Cocker Spaniel. Meet Strawberry a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/6/8/473713339.jpg
107,https://www.adoptapet.com/pet/28057789-los-angeles-california-cocker-spaniel,"Los Angeles, CA - Cocker Spaniel. Meet Snow a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/e/0/473713964.jpg
108,https://www.adoptapet.com/pet/28657951-los-angeles-california-german-shepherd-dog,"Los Angeles, CA - German Shepherd Dog. Meet Sarah a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/c/4/487800814.jpg
109,https://www.adoptapet.com/pet/28658291-los-angeles-california-husky,"Los Angeles, CA - Husky. Meet Luna a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/9/d/487806699.jpg
110,https://www.adoptapet.com/pet/28830349-los-angeles-california-chihuahua,"Los Angeles, CA - Chihuahua. Meet Eddie a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/7/4/491364969.jpg
111,https://www.adoptapet.com/pet/28830393-los-angeles-california-husky,"Los Angeles, CA - Husky. Meet Roxy a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/d/0/491366095.jpg
112,https://www.adoptapet.com/pet/29214883-los-angeles-california-glen-of-imaal-terrier,"Los Angeles, CA - Glen of Imaal Terrier. Meet Bon Bon a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/f/2/499603739.jpg
113,https://www.adoptapet.com/pet/29214890-los-angeles-california-,"Los Angeles, CA - Terrier (Unknown Type, Small). Meet Diego a Pet for Adoption.",https://pet-uploads.adoptapet.com/4/8/b/499603969.jpg
114,https://www.adoptapet.com/pet/29402685-los-angeles-california-,"Los Angeles, CA - Terrier (Unknown Type, Small). Meet Skittles a Pet for Adoption.",https://pet-uploads.adoptapet.com/c/5/c/503752654.jpg
115,https://www.adoptapet.com/pet/29402695-los-angeles-california-,"Los Angeles, CA - Terrier (Unknown Type, Small). Meet Snickers a Pet for Adoption.",https://pet-uploads.adoptapet.com/2/0/e/503753213.jpg
116,https://www.adoptapet.com/pet/29402715-los-angeles-california-,"Los Angeles, CA - Terrier (Unknown Type, Small). Meet Hershey a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/9/b/503753628.jpg
117,https://www.adoptapet.com/pet/29402783-los-angeles-california-,"Los Angeles, CA - Terrier (Unknown Type, Small). Meet Twix a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/9/3/503754273.jpg
118,https://www.adoptapet.com/pet/29426010-los-angeles-california-american-staffordshire-terrier,"Los Angeles, CA - American Staffordshire Terrier. Meet Ladybug a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/3/b/504195006.jpg
119,https://www.adoptapet.com/pet/10525018-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Amber a Pet for Adoption.",https://pet-uploads.adoptapet.com/b/3/5/196830559.jpg
120,https://www.adoptapet.com/pet/13815235-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Ziegler a Pet for Adoption.",https://pet-uploads.adoptapet.com/7/8/f/232104487.jpg
121,https://www.adoptapet.com/pet/19593630-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - American Pit Bull Terrier. Meet Sissy a Pet for Adoption.",https://pet-uploads.adoptapet.com/e/0/0/290574901.jpg
122,https://www.adoptapet.com/pet/20257905-los-angeles-california-american-bulldog,"Los Angeles, CA - American Bulldog. Meet Valerie a Pet for Adoption.",https://pet-uploads.adoptapet.com/0/2/b/396850163.jpg
123,https://www.adoptapet.com/pet/20258580-los-angeles-california-american-bulldog,"Los Angeles, CA - American Bulldog. Meet Annabelle a Pet for Adoption.",https://pet-uploads.adoptapet.com/f/4/2/396846948.jpg
124,https://www.adoptapet.com/pet/24515471-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Boden a Pet for Adoption.",https://pet-uploads.adoptapet.com/8/7/7/396847098.jpg
125,https://www.adoptapet.com/pet/29362727-monrovia-california-shih-tzu,"Monrovia, CA - Shih Tzu. Meet Sugar Cookie a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/1/d/502868606.jpg
126,https://www.adoptapet.com/pet/29590421-los-angeles-california-american-pit-bull-terrier,"Los Angeles, CA - Pit Bull Terrier. Meet Fudge a Pet for Adoption.",https://pet-uploads.adoptapet.com/d/6/e/511615130.jpg
127,https://www.adoptapet.com/pet/29906700-los-angeles-california-rat-terrier,"Los Angeles, CA - Rat Terrier. Meet MJ a Pet for Adoption.",https://pet-uploads.adoptapet.com/3/f/2/515367192.jpg
128,https://www.adoptapet.com/pet/29942673-los-angeles-california-chihuahua,"Los Angeles, CA - Chihuahua. Meet Misty a Pet for Adoption.",https://pet-uploads.adoptapet.com/1/e/a/515783810.jpg
129,https://www.adoptapet.com/pet/29942761-los-angeles-california-chihuahua,"Los Angeles, CA - Chihuahua. Meet Queenie a Pet for Adoption.",https://pet-uploads.adoptapet.com/a/c/4/515783819.jpg
